input, output
도넛 먹는중, Munchin' on lit donuts fam
배고프다, Starvin' vibes fam
지금 뭐해?, What's the vibe rn?
이거 진짜 멋져, This is straight fire no cap
피곤해, Feelin' hella drained fam
친구 만났어, Linkin' with the squad bet
공기놀이해, Vibin' with some chill games yo
숙제해야 돼, Gotta grind that homework ugh
기분 좋아, Feelin' high-key lit fam
비 와, Rain’s pourin’ low-key sus
놀고 싶어, Wanna dip and chill fr
졸려, Knockin' out soon low-key
뭐 먹을까?, What we munchin' on tho?
심심해, Bored outta my mind no lie
학교 가기 싫어, Don’t wanna hit school today bruh
지각했어, Pulled up mad late oof
엄마한테 혼났어, Got roasted by moms rip
오늘 날씨 좋아, Sky's flexin’ hard today
운동했어, Just hit that gym grind ayy
게임 하고 있어, On that gaming grind rn
노래 듣는 중이야, Vibin’ to some fire tracks
친구랑 전화 중이야, Choppin' it up with the homie
카페 왔어, Sippin’ vibes at the café
시험 망했어, That test did me dirty bruh
지갑 잃어버렸어, Lost my wallet send prayers
배 아파, Stomach's wildin’ not it
집에 가고 싶어, Just wanna bounce home asap
알바 가야 돼, Gotta clock in for that side hustle ugh
지금 가는 중이야, On the move rn no cap
할 말 까먹었어, Forgot what I was gonna say lol
배불러, Mad full can’t eat no more
핸드폰 배터리 없어, Phone’s on life support send help
오늘 너무 피곤해, Today’s got me dead tired frfr
새벽까지 깨어 있었어, Pulled an all-nighter big yikes
늦잠 잤어, Slept through like a whole movie fam
할 게 너무 많아, Got a whole mission list bruh
카톡 답장 안 옴, Left on read pain 😩
새 신발 샀어, Drippin’ in fresh kicks let’s gooo
기차 탔어, Ridin’ the rails city style
맛있는 거 먹고 싶어, Cravin’ some bomb eats rn
약속 취소됐어, Plans got ghosted smh
지금 쉬는 중이야, Just coolin’ rn no rush
너무 졸려서 눈 감겼어, Eyelids doin’ the shutdown dance 😴
집 가는 길이야, Headin’ back to the crib peace out
날씨 진짜 덥다, It’s hot AF out here fr
빨래 돌리는 중, Spinnin' that laundry cycle adulting hard
지하철 탔어, Deep in the subway jungle rn
비밀번호 까먹었어, Forgot my code again smh
머리 감기 싫어, Don’t feel like washin’ this mess rn
치킨 먹고 싶어, Cravin’ that golden crispy love 🍗
혼자 영화 봤어, Solo movin’ feelin’ indie vibes
누워 있어, Just posted up like 🛌
심장 두근거려, Heart’s doin’ parkour low-key
지금 기다리는 중, Just chillin’ in the waiting zone
옷 고르는 중이야, Stylin’ and wildin’ in my closet rn
배달 왔어, Food’s at the door — let’s eattt
할아버지 댁 가는 중, Rollin’ up to grandpa’s crib fam love 💯
버스 놓쳤어, Bus said bye-bye rip my timing
이어폰 잃어버렸어, My earbuds ghosted me 😩
핸드폰 떨어뜨렸어, Phone took a dive moment of silence 📱💀
물 마시는 중, Hydratin’ like a champ 💧
졸업했어,I’m officially out the edu game let’s gooo
눈 왔어,Snow be fallin' winter wonderland vibes
길이 너무 막혀,Stuck in traffic hell send snacks
머리 잘랐어,Got the fresh cut feelin’ brand new
휴대폰 충전 중이야,Juicein’ up the lifeline don’t @ me
눈 아파,My eyeballs need a vacay fr
새벽에 깼어,Woke up at ghost hour why tho
알람 못 들었어,Alarm flopped I’m doomed 💀
약 먹는 중이야,Poppin’ the meds healing arc unlocked
지금 샤워 중이야,Under the rain simulator brb
오늘 너무 행복해,Vibes on cloud nine today no lie
너무 우울해,Mood hit the basement send memes
데이트 갔어,Out here romancin’ wish me luck
지금 달리는 중이야,Speed mode activated zoom zoom
집안일 하고 있어,Adulting mode: scrub scrub and cry
오늘 알바 그만뒀어,Quit that gig feelin' free AF
돈 없어,Wallet's on vacation broke life real
쇼핑했어,Retail therapy complete broke but happy
차였어,Got the boot heart.exe crashed
술 마시는 중이야,Sippin’ the juice chillin’ with the feels
잠 못 잤어,Sleep ghosted me insomniac vibes 😵‍💫
밥 먹는 중이야,Chowin’ down like a boss rn 🍱
강의 듣는 중이야,Brain’s in absorb mode barely
날씨 너무 좋아서 나왔어,"Outside ‘cause the sky said ""let’s vibe"" 🌤️"
버스 기다리는 중,Waitin’ on wheels time’s slowin’
다이어트 중이야,Snackin’ on sadness diet mode on 😩
저녁 뭐 먹지 고민 중,Brain buffering on dinner decisions
운동 가기 싫어,Don’t feel like gymmin’ my bed’s stronger
새 프로젝트 시작했어,New grind unlocked let’s get it
배 너무 고파서 화남,Hungry and angry — hangry beast mode
보고서 써야 돼,Gotta word-vomit a whole essay ugh
회의 중이야,Stuck in zoom doom rn 💻
지금 버스 탔어,Onboard the vibe bus rn
친구랑 싸웠어,Bestie beefin’ bad vibes only
텅장 됐어,Bank account’s on vacation again
졸업식 다녀왔어,Capped ‘n clapped it’s official 🎓
핸드폰 너무 느려,My phone movin’ like a snail 💀
오늘 아무것도 하기 싫어,Energy = 0% brain in airplane mode
시간 순삭됐어,Time said “bye” blink and it’s gone
카페에서 공부 중,Brains + caffeine = productivity(?)
시험 끝났어,Test done let's hope for the best 🤞
학교 가는 중,On my way to the knowledge factory 🏫
새로운 노래 찾았어,Found a new track it's a banger 🎶
오늘 너무 더워,Melting in this heat it’s a sauna outside 🥵
집에 가는 중,Heading home to my sanctuary 🏡
일찍 일어났어,Woke up before the sun no cap 🌅
어디서 놀지 고민 중,Where we vibin’ tonight tho? 🤔
친구랑 만나서 놀아야지,Time to link up with the fam 👯‍♂️
드라이브 중,Just cruisin’ with no destination 🚗
사람 많은 곳 가고 싶어,Wanna be surrounded by the crowd fr
이상한 꿈 꿨어,Had a wild dream plot twist tho 👀
배가 고파서 짜증 나,Hangry mode activated someone feed me 😤
오늘 너무 피곤해,Today’s a whole vibe killer dead tired 😴
게임 너무 재밌어,Leveling up in life and in games 🎮
지금 친구 집에 가고 있어,Headin’ to the homie’s crib to chill 🏠
오늘 약속 취소됐어,Plans got canceled back to square one 🧩
엄마한테 잔소리 들었어,Mom’s giving that life lecture again 💁‍♀️
이제 집에 가,Peace out home is where the WiFi is 🏡💻
오늘 날씨 맑아,Sky’s flexin’ today no clouds 🌞
카페 왔어,Just pulled up to the café for some iced vibes ☕
오늘 기분 좋아,Feelin' myself today all vibes 💯
새 신발 샀어,Copped some fresh kicks let’s gooo 👟
오늘은 좀 피곤해,Low-key drained today need a nap 💤
게임에서 이겼어,Got that dub I'm unstoppable 🏆
오늘 뭔가 잘 될 것 같아,Everything's aligned today fr ✨
커피 마시고 있어,Sippin’ on some caffeine to power through ☕
친구한테 전화했어,Chopped it up with the homie for hours 📞
기차 탔어,Just hopped on the train city vibes 🚉
오늘은 바쁘다,Full day ahead no time to chill 🕔
다이어트 중,On that health grind no cheats 🍎
연습 중,Hit the practice grind perfectin’ my skills 🔥
새로운 게임 시작했어,Just started a new game hype level 100 🎮
목표가 있어,On that mission can’t stop won’t stop 🚀
친구랑 영화 봤어,Watched a flick with the squad real talk 🎥
걷고 있어,Just taking a walk clearing my mind 🚶‍♀️
오늘은 진짜 힘들어,Today’s a struggle but I’ll make it 💪
모든 게 잘 안 풀려,Everything’s going wrong today rip 😩
피곤해서 일찍 잘 거야,Knockin' out early gotta recharge 🛌
알바 끝났어,Clocked out from the hustle time to rest ⏱
일 끝났어,Work’s done now for some me-time 🧘‍♂️
오늘 할 일이 너무 많아,Got a to-do list that’s off the charts 📋
집에 가고 싶어,Just wanna be home and relax 🏠
친구랑 놀고 있어,Chillin’ with the squad having a blast 🥳
지금 게임 중,On that gaming grind no distractions 🎮
게임에서 졌어,Got clapped in the game sad vibes 😢
잠깐 쉬는 중,Just taking a break recharge mode 🌱
새 옷 샀어,Copped some new drip I’m flexin’ 👗
하루 종일 바빴어,Been on the grind all day exhausted 😩
친구랑 드라이브 중,Hit the road with the crew cruising 🚗
운동 갔다 왔어,Just hit that workout grind feeling strong 💪
피곤한데 커피 마셔,Dead tired but coffee’s saving me ☕
비 오고 있어,Rain’s coming down vibe check 🌧️
너무 더워,It’s burning hot outside I’m melting 🔥
지금 밖에 있어,Out here living my best life no cap 🌍
데이트 중,On a date feeling all the feels ❤️
친구랑 외출 중,Out and about with the squad let’s go! 🏙️
오늘은 집에서 쉬려고,Chillin' at home today need that peace 🛋️
사람들 많아,The crowd’s wild not sure about this one 🤔
헬스장 갔어,Hit the gym grind today feeling good 🏋️‍♀️
쇼핑하고 있어,On that shopping spree buying all the things 🛍️
맛있는 거 먹었어,Ate some bomb food life’s good 🍣
오늘 일찍 일어났어,Woke up early today ready to crush it 🌞
배부르다,Feelin’ full can’t eat no more 🍽️
아침에 운동했어,Did that morning workout now I’m unstoppable 💥
오늘 무슨 요일이지?,What day is it even? Losing track 🗓️
운동 끝,Just finished that workout dead but strong 🏋️‍♂️
헬스장에서 왔어,Just got out of the gym feeling like a beast 💪
옷장 앞에서 고민 중,Standin' in front of the closet like... what to wear? 🤔
새 친구 만났어,Met a new friend today vibes were cool 🙌
지금 기다리고 있어,Waiting for my turn just chillin’ 🕒
오늘 날씨 너무 좋다,Weather’s fire today perfect vibes 🌤️
지금 기분 좋아,Feelin’ super chill all good vibes 🌸
시험 공부해야 돼,Got some studying to do grind time 📚
빨리 가야 돼,Need to bounce time’s ticking ⏰
지하철 타고 있어,Taking the subway it’s a jungle down here 🚇
새로운 도전,Got a new challenge let’s crush it 💯
게임에서 이겼어,Won the game let’s gooo! 🏆
하루 시작,Starting my day right let’s make it count 🌅
친구랑 맛집 가자,Let’s hit up that food spot fam 🍔
일 끝,Workday’s over time to relax 🎉
여행 가고 싶어,Need a getaway somewhere chill ✈️
요리 중,In the kitchen cookin’ up some heat 🍳
지금 보고 있는 중,Watching something fire rn 📺
친구랑 카페에서,Chillin’ at the café with the squad ☕
쇼핑 가고 싶어,Wanna go shopping and buy everything 🛒
집에 가고 있어,Headin’ back home finally 🏠
오늘 날씨 최고,Weather’s top tier today feeling great 🌞
주말에 뭐 할까?,What’s the plan for the weekend? 🤔
커피 마시러,On my way to grab some coffee gotta wake up ☕
지금 하늘 멋져,Sky’s lookin’ beautiful today no cap 🌅
친구랑 수다 떨고 있어,Just chatty with my bestie good times 🗣️
어디 갈까?,Where we going today? Let’s figure it out 🤩
오늘 힘든 하루였어,Today’s been a tough one need some rest 😓
지금 고요한 시간,Enjoying this peaceful moment no rush 🌙
노래 듣고 있어,Vibin’ to some fire music it’s a vibe 🎶
친구랑 얘기 중,Talking to my homie having a laugh 😆
운동 가기 전에,Sippin’ some pre-workout let’s get it 💥
너무 졸려, Feelin’ super tired eyes heavy 😴
